code;name;url
PA0000001;Abacavir;https://pe.ivademecum.com/principio-activo-abacavir.html
PA0000004;Abatacept;https://pe.ivademecum.com/principio-activo-abatacept.html
PA0000007;Abiraterona;https://pe.ivademecum.com/principio-activo-abiraterona.html
PA0000017;Aceclofenac;https://pe.ivademecum.com/principio-activo-aceclofenac.html
PA0000052;Aceite de ricino;https://pe.ivademecum.com/principio-activo-aceite-ricino.html
PA0000067;Acemetacina;https://pe.ivademecum.com/principio-activo-acemetacina.html
PA0000075;Acetazolamida;https://pe.ivademecum.com/principio-activo-acetazolamida.html
PA0000076;Acético ácido;https://pe.ivademecum.com/principio-activo-acetico-acido.html
PA0000079;Acetilcarnitina;https://pe.ivademecum.com/principio-activo-acetilcarnitina.html
PA0000080;Acetilcisteína;https://pe.ivademecum.com/principio-activo-acetilcisteina.html
PA0000086;Acetilsalicílico ácido;https://pe.ivademecum.com/principio-activo-acetilsalicilico-acido.html
PA0000097;Aciclovir;https://pe.ivademecum.com/principio-activo-aciclovir.html
PA0000102;Acitretina;https://pe.ivademecum.com/principio-activo-acitretina.html
PA0000107;Adalimumab;https://pe.ivademecum.com/principio-activo-adalimumab.html
PA0000108;Adapaleno;https://pe.ivademecum.com/principio-activo-adapaleno.html
PA0000117;Adrenalina;https://pe.ivademecum.com/principio-activo-adrenalina.html
PA0000149;Albendazol;https://pe.ivademecum.com/principio-activo-albendazol.html
PA0000151;Albúmina humana;https://pe.ivademecum.com/principio-activo-albumina-humana.html
PA0000170;Alendronato;https://pe.ivademecum.com/principio-activo-alendronato.html
PA0000176;Alfa tocoferol;https://pe.ivademecum.com/principio-activo-alfa-tocoferol.html
PA0004102;Alfuzosín;https://pe.ivademecum.com/principio-activo-alfuzosin.html
PA0000196;Aliskiren;https://pe.ivademecum.com/principio-activo-aliskiren.html
PA0000208;Alopurinol;https://pe.ivademecum.com/principio-activo-alopurinol.html
PA0000210;Alprazolam;https://pe.ivademecum.com/principio-activo-alprazolam.html
PA0000212;Alprostadil;https://pe.ivademecum.com/principio-activo-alprostadil.html
PA0000229;Aluminio hidróxido;https://pe.ivademecum.com/principio-activo-aluminio-hidroxido.html
PA0000244;Ambroxol;https://pe.ivademecum.com/principio-activo-ambroxol.html
